,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,largest_cc,largest_cc_ste,num_nodes,num_edges,largest_cc_p,avg_local_efficiency_p,global_efficiency_p,avg_clustering_p,avg_pc,avg_pc_ste
0,covid,0.05,0.2250758217755443,0.006610623720323,0.1012231469399753,0.0028188598104819,0.2324680441698026,0.0064195659672761,0.5289855072463768,0.0147432264952299,46,51,0.6216495913915259,0.6132773944088556,0.6315952300886698,0.8256352698293017,0.8199322685443088,0.0081403868430723
1,control,0.05,0.2299401062811491,0.0082520999163957,0.1029542948192636,0.0032563111603757,0.2379264418806914,0.0080019342033798,0.5158102766798419,0.0171203121734112,46,51,0.6216495913915259,0.6132773944088556,0.6315952300886698,0.8256352698293017,0.8068026568737026,0.0088430900484646
2,covid,0.059,0.2548409125246735,0.0066947717766745,0.1249062201315142,0.0040646518483257,0.2652813168430112,0.0068350579169148,0.5895445134575569,0.0176622026882204,46,61,0.8761854627366922,0.4292366371517911,0.4706733051928613,0.7394255482125439,0.836874878715963,0.0076724960087082
3,control,0.059,0.2603526227626054,0.0078716329689378,0.1290705732544067,0.0043376529362858,0.2725193758226691,0.0074613168353858,0.5948616600790514,0.0187498653711949,46,61,0.8761854627366922,0.4292366371517911,0.4706733051928613,0.7394255482125439,0.8280597253469051,0.0077585890065236
4,covid,0.0679,0.2689213058132617,0.0070429943836896,0.1473118331309492,0.004398111362793,0.2829479979579077,0.0071039573525139,0.6521739130434783,0.0164820738386031,46,70,0.6278096929595163,0.096298257383081,0.6878836276431053,0.2118908164461748,0.8502974372191038,0.0070014452655181
5,control,0.0679,0.2818265690964943,0.0073963092692345,0.14880712169495,0.0046322183565424,0.2988738411021605,0.0072218406388606,0.6358695652173912,0.0183954438647544,46,70,0.6278096929595163,0.096298257383081,0.6878836276431053,0.2118908164461748,0.8431894736339349,0.0075069553049372
6,covid,0.0769,0.2885938412715599,0.0058378411956604,0.1621873300530342,0.0045544714860429,0.3097011053857748,0.0060415719135079,0.6780538302277433,0.0162568418830372,46,79,0.4408359453739126,0.6132773944088556,0.2056342262308506,0.4601118832150398,0.864873623468761,0.0061597944093578
7,control,0.0769,0.2993238099838868,0.0073098036027616,0.1701917762133944,0.0045862112927107,0.3197100006866545,0.0079008062615137,0.6941699604743083,0.0179150732749594,46,79,0.4408359453739126,0.6132773944088556,0.2056342262308506,0.4601118832150398,0.8566153271487266,0.006604475976971
8,covid,0.0859,0.3071165747718168,0.0065439845039183,0.1809980431041842,0.0046739937285706,0.3299013165818221,0.0067213809506358,0.7230848861283644,0.0167730540293048,46,88,0.6247273237574953,0.6132773944088556,0.1655600139876648,0.7006448435423338,0.8766786088893758,0.0062532827102098
9,control,0.0859,0.3143682776362326,0.0077952814385458,0.1907460541798983,0.004429343768034,0.3388454184635948,0.0080226340054398,0.7396245059288536,0.0159408001016616,46,88,0.6247273237574953,0.6132773944088556,0.1655600139876648,0.7006448435423338,0.8636162719270642,0.006615915259995
10,covid,0.0949,0.3222402373189239,0.0066758437169008,0.1992997692059726,0.005067895721166,0.3484908508141019,0.0073598639670282,0.755175983436853,0.0169794272768551,46,98,0.808393474211904,0.339756819694443,0.2859911939700701,0.5892259541136781,0.8852446913591003,0.0058928134201512
11,control,0.0949,0.3311829963262652,0.0074705678257243,0.2079428799336488,0.0045197149891181,0.3621900957270182,0.0077750651696314,0.7692687747035574,0.0145430898786169,46,98,0.808393474211904,0.339756819694443,0.2859911939700701,0.5892259541136781,0.871196952030624,0.0061957579038571
12,covid,0.1038,0.3363675481865642,0.006556526321894,0.214733666771428,0.005134491820992,0.3656593674413114,0.0075143261440429,0.784679089026915,0.0165762358319984,46,107,0.9378479645643706,0.2595596918710462,0.3441452575850604,0.4292366371517911,0.8944157324116663,0.0054548167103426
13,control,0.1038,0.3460103297163928,0.00697621538129,0.2236497548899528,0.0045256509699873,0.380583009255952,0.0077070492801458,0.7964426877470356,0.0141668542574157,46,107,0.9378479645643706,0.2595596918710462,0.3441452575850604,0.4292366371517911,0.8789428257834218,0.0057665464073518
14,covid,0.1128,0.3525517834918473,0.0067528860791037,0.2272282240302443,0.0053273181557171,0.3840037089853456,0.0076287721889997,0.8027950310559004,0.0158590114997866,46,116,0.8590202793101838,0.4393922236512144,0.1407495269944434,0.5198153846245217,0.9009724887365216,0.0052857740564877
15,control,0.1128,0.3568095808448779,0.0068411899742002,0.2375833076177252,0.0044318872223799,0.3942561858600241,0.0075163634534761,0.8137351778656128,0.0136813595592222,46,116,0.8590202793101838,0.4393922236512144,0.1407495269944434,0.5198153846245217,0.8856564192112689,0.0053059478746145
16,covid,0.1218,0.3641079587138347,0.006615037309444,0.2398406386009393,0.0053938688496074,0.3976370050097575,0.0073963814389394,0.81935817805383,0.0149743999954889,46,126,0.8352024666194817,0.2215318112087854,0.1736103108387725,0.4921919700222001,0.9075378606931916,0.0046622264822993
17,control,0.1218,0.3703331643262647,0.0067025275141485,0.2504315684280035,0.0048511875995959,0.4103376606317326,0.0076571377072803,0.8285573122529647,0.0142548886035901,46,126,0.8352024666194817,0.2215318112087854,0.1736103108387725,0.4921919700222001,0.8905536999222291,0.005214784350611
18,covid,0.1308,0.3667627232719997,0.0062929973760838,0.2512673575921741,0.005232315239951,0.4028445017863672,0.0074110062635121,0.8374741200828156,0.0137185649074717,46,135,0.8829128589191056,0.1015985367571905,0.138434798773949,0.1230443804086695,0.9127938938542536,0.0043099104384443
19,control,0.1308,0.3803060340031612,0.0068845660627156,0.2627215781631383,0.0050136703479449,0.422692184630379,0.0076776817809287,0.8438735177865614,0.0138388036394143,46,135,0.8829128589191056,0.1015985367571905,0.138434798773949,0.1230443804086695,0.895624404931333,0.0051036417570212
20,covid,0.1397,0.3734843123018346,0.0061943940066523,0.2622154371525474,0.0054884240729295,0.4121374411676997,0.007252602054283,0.8550724637681157,0.0134509194227453,46,144,0.9550129961530408,0.0233399442862251,0.1071285425460891,0.0255313721186413,0.9184164192058224,0.0041613109691627
21,control,0.1397,0.3936551186564889,0.006062494927553,0.2750096183043247,0.0050960108082454,0.4379255901608938,0.0067978997952731,0.8591897233201581,0.0129873747823787,46,144,0.9550129961530408,0.0233399442862251,0.1071285425460891,0.0255313721186413,0.9012534117302216,0.0048367479952996
22,covid,0.1487,0.3793668948850026,0.0060051698825719,0.2713120192620006,0.0056161726759502,0.4192309539245282,0.0073452945019388,0.865424430641822,0.0134821819462302,46,153,0.9343376686818624,0.0067602443913261,0.1071285425460891,0.0046638250004167,0.9228782354876222,0.0039432675252857
23,control,0.1487,0.4035535055458988,0.0057820704871295,0.2855264739362177,0.0051485146270381,0.4495483110295465,0.006523932677113,0.8720355731225297,0.0122469047613856,46,153,0.9343376686818624,0.0067602443913261,0.1071285425460891,0.0046638250004167,0.905653357392732,0.0045843961551971
24,covid,0.1577,0.3856938868152197,0.0061899641488322,0.2817096871956787,0.0057379617810648,0.425576789856518,0.007485230571403,0.8799171842650104,0.0130376867593251,46,163,0.6865288829725766,0.0026055512887058,0.0354066658763613,0.0012902030113823,0.9270664682679572,0.0036184009555093
25,control,0.1577,0.4134761411173361,0.0051604368949715,0.2989596791806834,0.0046418030038606,0.4601628716791618,0.0064684221810674,0.8917984189723319,0.0104689149261233,46,163,0.6865288829725766,0.0026055512887058,0.0354066658763613,0.0012902030113823,0.9106949179199624,0.0042237605801407
26,covid,0.1667,0.394859358089262,0.0063805578943805,0.2897928384895072,0.0057125659226278,0.4353461303769623,0.0077682344418672,0.8902691511387165,0.0128036794994309,46,172,0.6053096975851643,0.0080980461844919,0.0153788737233658,0.0094283579028257,0.9300730547911912,0.0034737913264344
27,control,0.1667,0.418579255530294,0.0059702010893641,0.3092811803120873,0.0046604361388856,0.4666779266413602,0.0069212372146394,0.9041501976284584,0.0100362908966686,46,172,0.6053096975851643,0.0080980461844919,0.0153788737233658,0.0094283579028257,0.9145822141000204,0.0039548884295114
28,covid,0.1756,0.4015215331181097,0.0064378815089567,0.2968144149077644,0.0053522580521056,0.44254198291449,0.0079688011132227,0.8975155279503106,0.0114642065818212,46,181,0.3801631294716356,0.007307160528885,0.007307160528885,0.005055714848851,0.933232686033566,0.0032115626229946
29,control,0.1756,0.4245055600674611,0.0056608092053144,0.3178303704242237,0.0047043971205066,0.4740967472871236,0.006810209946188,0.9125494071146244,0.0099916929410551,46,181,0.3801631294716356,0.007307160528885,0.007307160528885,0.005055714848851,0.9184738328084416,0.0037209178339228
30,covid,0.1846,0.4061200297162623,0.0062600056430035,0.303993693448693,0.0055227067189498,0.4485657144508002,0.0076561865246757,0.9042443064182196,0.0114120639619837,46,191,0.3472386384138892,0.0054771377448126,0.003647566644518,0.0091939253819802,0.9357346234668378,0.0031202180391241
31,control,0.1846,0.4287087338087556,0.0056725788675819,0.3273667850457042,0.0045178693314543,0.479614148470432,0.0068187270458232,0.9224308300395258,0.0087381542845246,46,191,0.3472386384138892,0.0054771377448126,0.003647566644518,0.0091939253819802,0.9224679010510785,0.0035734438887187
32,covid,0.1936,0.4114976182187691,0.005780234004227,0.3093909050422517,0.0055938664547023,0.4543541123268483,0.0072765061401946,0.9094202898550724,0.0110022627297055,46,200,0.2190387081272659,0.0054771377448126,0.0009513126435267,0.0194423823085281,0.93841331602526,0.002931071449867
33,control,0.1936,0.432389100119428,0.0059510054550557,0.3354869222779556,0.0045083346781511,0.4851722330606262,0.0070648948625112,0.9308300395256917,0.0082458898615615,46,200,0.2190387081272659,0.0054771377448126,0.0009513126435267,0.0194423823085281,0.9256879905165684,0.0034219872125185
34,covid,0.2026,0.4150882770880555,0.0063372893874935,0.3156712244155996,0.0056863845250891,0.4575974917415487,0.007507842423993,0.9140786749482404,0.0111242079230964,46,209,0.1560528668285753,0.0021939225919441,0.0005064342290395,0.0065862880741517,0.9407402076918004,0.0028716666830586
35,control,0.2026,0.4385001637191815,0.00585211629378,0.3435048958263352,0.004495356330327,0.4913640089966327,0.0069302473574503,0.9392292490118578,0.0077359471296674,46,209,0.1560528668285753,0.0021939225919441,0.0005064342290395,0.0065862880741517,0.9283752224956776,0.0033293032702601
36,covid,0.2115,0.4221321207417459,0.0066479604556264,0.3202826821727641,0.0056803989313732,0.4641019923520632,0.0079092193802823,0.9166666666666666,0.0105294482024847,46,218,0.0640172049701787,0.0016871954676233,0.0002289957066313,0.0117901270007952,0.942888911988626,0.0028081232375307
37,control,0.2115,0.4444514841437572,0.0059254620016191,0.3500444961398768,0.0047138760790258,0.4972737321506994,0.0068412993743069,0.9451581027667983,0.0075736009965074,46,218,0.0640172049701787,0.0016871954676233,0.0002289957066313,0.0117901270007952,0.9312137875506468,0.0031407600225263
38,covid,0.2205,0.425379316963726,0.0068262577639406,0.3262142043809723,0.0055817036291808,0.4681085556201067,0.0081026969236903,0.9218426501035196,0.0103793510423342,46,228,0.0872288246173678,0.0032642491443296,0.0002898589102742,0.0173062898753819,0.9449867615932936,0.0027681321183956
39,control,0.2205,0.4480066581865584,0.0058762210288509,0.3563245830843686,0.0048444780078153,0.5013669506108681,0.0068922076147214,0.949110671936759,0.0074584513466161,46,228,0.0872288246173678,0.0032642491443296,0.0002898589102742,0.0173062898753819,0.9338584926476904,0.0029831112932776
40,covid,0.2295,0.4281680098914742,0.0070999376194689,0.331672580912014,0.0053860316478501,0.4701912175098656,0.0082820025959688,0.9280538302277432,0.009996165373077,46,237,0.0991657203379087,0.0051928148314675,0.0001145712333295,0.0150169048293227,0.9467940128965224,0.0027253500276059
41,control,0.2295,0.4502915528259559,0.0060843440911593,0.3622887997522799,0.0048535454924658,0.5033125915172595,0.0072001337859333,0.9525691699604744,0.0073705323380402,46,237,0.0991657203379087,0.0051928148314675,0.0001145712333295,0.0150169048293227,0.9364124232091824,0.0028950738080476
42,covid,0.2385,0.42987672090252,0.0075188771436715,0.3375137147603264,0.0051072126302112,0.470789638208088,0.0086110887973429,0.9373706004140788,0.0091777756140516,46,246,0.1569228795123649,0.0051928148314675,0.0001318896276495,0.0223068169648798,0.9485771531516044,0.0026445904786235
43,control,0.2385,0.4524976355007771,0.0062439446971171,0.367996311959639,0.0051803931228941,0.5053607389892231,0.0074363642873393,0.9555335968379446,0.0073930791399816,46,246,0.1569228795123649,0.0051928148314675,0.0001318896276495,0.0223068169648798,0.9383821485022912,0.0028100022581691
44,covid,0.2474,0.4335231557445731,0.0074434670203676,0.344056970540218,0.0051312319522746,0.4736880713611194,0.0086061460324519,0.944616977225673,0.0085113812759685,46,256,0.2069090124585033,0.0062504016325634,0.0002621213906837,0.0401851523866201,0.9500843541783962,0.0026062106536283
45,control,0.2474,0.4541089673107308,0.0062773290903582,0.373961794263201,0.0054653274063689,0.5083485678981094,0.0075943809833762,0.9584980237154151,0.0073554627407214,46,256,0.2069090124585033,0.0062504016325634,0.0002621213906837,0.0401851523866201,0.9402324968575768,0.0027684987534341
46,covid,0.2564,0.4380107372829672,0.007856628448506,0.3482204079513841,0.0051734212189821,0.477271688719292,0.0087833778798714,0.9461697722567288,0.0084809746741216,46,265,0.1566755103302187,0.0062504016325634,0.0002213511672383,0.0758348157873675,0.9516830361741514,0.0025308412472226
47,control,0.2564,0.4562701243598859,0.0061701446289827,0.3788217559269937,0.0056260483924329,0.5108248583847138,0.0075585951021829,0.9614624505928856,0.0072903085271837,46,265,0.1566755103302187,0.0062504016325634,0.0002213511672383,0.0758348157873675,0.9421872076798156,0.002700906350064
48,covid,0.2654,0.4396617370661807,0.0075548443581823,0.3548779259242905,0.0052775668855344,0.4787300772555112,0.008419594646487,0.9554865424430644,0.0070192282552314,46,274,0.2233643046525101,0.0041841047368768,0.0008405010150282,0.0377315963191757,0.9531102911175,0.0024229788524645
49,control,0.2654,0.4600215755272954,0.0063418689772649,0.3831802187297349,0.005867134425914,0.5134897445536506,0.0078482202704163,0.9639328063241108,0.0071918562088663,46,274,0.2233643046525101,0.0041841047368768,0.0008405010150282,0.0377315963191757,0.944074930096528,0.0026051990212384
50,covid,0.2744,0.4421646706031074,0.0074964120642556,0.3582193352258476,0.0053387768852944,0.4808330472611142,0.0085891968228132,0.9565217391304348,0.0069056232215974,46,283,0.2063336699544907,0.0056245041858545,0.0004747574488372,0.0524369128141922,0.9543898168286524,0.0023263880911735
51,control,0.2744,0.4616453226315344,0.0065765706896136,0.3876570710282827,0.0058522066905488,0.5147608394284254,0.0080342496336591,0.966403162055336,0.0067907215195231,46,283,0.2063336699544907,0.0056245041858545,0.0004747574488372,0.0524369128141922,0.9459189370949144,0.0024419237381985
52,covid,0.2833,0.4456484341105143,0.0079788188966683,0.3615239574119839,0.0054604573248258,0.4836464922990241,0.0090648404168299,0.9570393374741202,0.0068857349114161,46,293,0.1315913479143449,0.0057754383304462,0.000320327998455,0.0730271831527123,0.9557558644922894,0.0023279203239186
53,control,0.2833,0.4651300502108201,0.0070151368896558,0.3925950759195073,0.0058934404159545,0.5186295079031,0.0084287864759121,0.9693675889328064,0.0063008380850945,46,293,0.1315913479143449,0.0057754383304462,0.000320327998455,0.0730271831527123,0.9475564066937672,0.0023145031617158
54,covid,0.2923,0.4458305849977293,0.0084138722472047,0.3650608628962346,0.0055268897078184,0.4828599117404876,0.0093858523246628,0.9591097308488612,0.0066366677191205,46,302,0.072403989612683,0.0065862880741517,0.0002213511672383,0.0703051811288529,0.9569260361119007,0.0022906618074903
55,control,0.2923,0.4674381751949958,0.0072815451672755,0.3967454665721211,0.0058926765962894,0.5196578326569878,0.0086668018688929,0.9723320158102768,0.0061058733266138,46,302,0.072403989612683,0.0065862880741517,0.0002213511672383,0.0703051811288529,0.9492183715481528,0.0022248581987064
56,covid,0.3013,0.4464719214307871,0.0087433944886061,0.3693167939885975,0.0056406699302182,0.4828867389108126,0.0097538292878269,0.963768115942029,0.0063251562387244,46,311,0.1051266421429271,0.0069383190843877,0.0005064342290395,0.0590671245660875,0.9581605907770494,0.0022642129531066
57,control,0.3013,0.4705438658314767,0.0076242530216096,0.4005967637672312,0.0060463095757761,0.5222068718110113,0.00906794586051,0.9743083003952572,0.0059810256923166,46,311,0.1051266421429271,0.0069383190843877,0.0005064342290395,0.0590671245660875,0.9507679316439294,0.0021206474143405
58,covid,0.3103,0.4470182529588142,0.0086769880450062,0.3732820757894608,0.0056893035401674,0.4825747003131261,0.009683472408638,0.9673913043478264,0.0056344567953098,46,321,0.1093107178660688,0.0040713898448438,0.0004903573605209,0.0332050972676026,0.9593040295203736,0.002241953555661
59,control,0.3103,0.4735485417555328,0.0078009518667514,0.4047118446689512,0.0062110792291413,0.524481822475318,0.0092708145806839,0.9767786561264824,0.0059040045491456,46,321,0.1093107178660688,0.0040713898448438,0.0004903573605209,0.0332050972676026,0.9520427273966764,0.002053659421495
60,covid,0.3192,0.4475128214396442,0.0087609256594077,0.3765672080196484,0.0057311560764074,0.4827527549099904,0.0097877408754848,0.9699792960662524,0.0053266065894666,46,330,0.1325972697151003,0.0040713898448438,0.0004449367339541,0.032497761938496,0.9603486520501686,0.0022297387887229
61,control,0.3192,0.4753171072665327,0.0077818680923237,0.4084605917878518,0.006373110894579,0.525643467619844,0.0094184483831307,0.9782608695652172,0.005761810172772,46,330,0.1325972697151003,0.0040713898448438,0.0004449367339541,0.032497761938496,0.9533477535082516,0.0019945786209106
62,covid,0.3282,0.4469649017007685,0.0087737274499331,0.380150816570684,0.0059366330957307,0.4824666805159574,0.009843657529262,0.972049689440994,0.005086478415238,46,339,0.184613102891607,0.0041841047368768,0.0011088437209297,0.0427727115687419,0.9611905739748224,0.0022180721537442
63,control,0.3282,0.4764740658560853,0.0079702977007592,0.4111415474528183,0.0065024955160813,0.5253619541150756,0.0095730080053749,0.9782608695652172,0.005761810172772,46,339,0.184613102891607,0.0041841047368768,0.0011088437209297,0.0427727115687419,0.95467052962385,0.0019398951733728
64,covid,0.3372,0.4469145159296995,0.0088891440780619,0.3827446802531429,0.0061120204326899,0.4825801617802044,0.009918087365273,0.9730848861283644,0.0051139933750484,46,348,0.2127305439485569,0.0032642491443296,0.000765384859905,0.0255313721186413,0.962115646885094,0.0022132546386286
65,control,0.3372,0.4782150670787166,0.008099759548192,0.4147919186028312,0.0065442030705286,0.526815097360828,0.009563916148516,0.9802371541501976,0.0051732897467981,46,348,0.2127305439485569,0.0032642491443296,0.000765384859905,0.0255313721186413,0.9558726491126006,0.0018948492924282
66,covid,0.3462,0.4507458833492131,0.0091549909105538,0.3850672410140148,0.0062056305719046,0.4855546872034438,0.0101243204908779,0.9730848861283644,0.0051139933750484,46,358,0.1876297834524584,0.0049218955227372,0.0006136825995098,0.0393526789725942,0.9630240315410652,0.0021848617461449
67,control,0.3462,0.4811227711481251,0.0081409201711755,0.4176761770187425,0.0066517708782888,0.5280487477097208,0.0096583144920159,0.9807312252964429,0.0051447924810613,46,358,0.1876297834524584,0.0049218955227372,0.0006136825995098,0.0393526789725942,0.956929117801826,0.0018399599666533
68,covid,0.3551,0.4508923408233517,0.0094460909286551,0.3884399509288028,0.0064319743101281,0.4844280113025582,0.0102543707438884,0.9761904761904762,0.0045009944725085,46,367,0.1974821164800745,0.0044180672706239,0.0010116569784096,0.0339255667122582,0.9638122157349396,0.0021602667871652
69,control,0.3551,0.4820768360902053,0.0081950150325555,0.4214023849324053,0.0068179582760231,0.5283956949976636,0.0096889367686763,0.983695652173913,0.0035713518514824,46,367,0.1974821164800745,0.0044180672706239,0.0010116569784096,0.0339255667122582,0.9579378601977416,0.0017900382346889
70,covid,0.3641,0.452585975151396,0.0097068002905177,0.390589526385064,0.0065795032915597,0.4851781022408526,0.0105056518283083,0.9772256728778468,0.0045094895938871,46,376,0.1684102922253332,0.0062504016325634,0.0009224071236328,0.0436659549841349,0.9646199214230184,0.0021354936406044
71,control,0.3641,0.4828403419671814,0.0083481730357187,0.4240306422938563,0.0069053430848713,0.528189034587219,0.0099010989716044,0.9846837944664032,0.0036022866158932,46,376,0.1684102922253332,0.0062504016325634,0.0009224071236328,0.0436659549841349,0.95896473700218,0.0017522040987162
72,covid,0.3731,0.4537322662592113,0.0100481006270084,0.3937557473078403,0.0067451551917923,0.4861228213209903,0.0107834567721372,0.980848861283644,0.004280909489464,46,386,0.4384267951502423,0.0091939253819802,0.0012146021073197,0.0503700438284866,0.9653951436656923,0.0021194120363536
73,control,0.3731,0.4841657572591498,0.0085123457386981,0.4268654272184713,0.0070788142409781,0.5283560682171508,0.010060506059093,0.9851778656126484,0.0035471918562041,46,386,0.4384267951502423,0.0091939253819802,0.0012146021073197,0.0503700438284866,0.9599789610208088,0.0017075847060287
74,covid,0.3821,0.453503970094496,0.0102217045779091,0.3956022207054116,0.0068627097733118,0.4853395627784163,0.0109272021787457,0.980848861283644,0.004280909489464,46,395,0.3079434904865135,0.0085215313026873,0.0013296108587212,0.0483718878999294,0.9661130049845502,0.0021090687873631
75,control,0.3821,0.4847148312260877,0.0086943342610308,0.4293197025888142,0.0072490453480179,0.5280015963549767,0.0102877781908403,0.9861660079051384,0.0034999568341319,46,395,0.3079434904865135,0.0085215313026873,0.0013296108587212,0.0483718878999294,0.9609557652832584,0.0016554952856771
76,covid,0.391,0.4555268909937232,0.0104863215130384,0.3973715749099908,0.0069512152977872,0.4863429831129883,0.0110181507557493,0.9818840579710144,0.0043253799643622,46,404,0.4730433925230125,0.0096681078204301,0.001638103379219,0.0545742196012075,0.9668608984789742,0.0020881778741954
77,control,0.391,0.4866555891942131,0.0089850183097869,0.4314695846871821,0.0073598082435035,0.529035913051806,0.0105932597691102,0.9866600790513832,0.0034383879682302,46,404,0.4730433925230125,0.0096681078204301,0.001638103379219,0.0545742196012075,0.9619408604881275,0.0016159621530365
78,covid,0.4,0.4563074531518228,0.0106713744923789,0.3995166778514425,0.0070505258135873,0.4856915508513745,0.0111008482834369,0.9839544513457557,0.0038077458247312,46,414,0.3565983745999813,0.0099132774444079,0.0015903288562243,0.0556698305587421,0.9674908957697348,0.0020839253146971
79,control,0.4,0.4885758224175129,0.0092405045259279,0.4347568784810418,0.0076166450668039,0.5301815651346307,0.0109440199440557,0.9891304347826086,0.0028382226514515,46,414,0.3565983745999813,0.0099132774444079,0.0015903288562243,0.0556698305587421,0.9628423584721701,0.0015624685161382318
