,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,largest_cc,largest_cc_ste,num_nodes,num_edges,avg_local_efficiency_p,avg_clustering_p,largest_cc_p,global_efficiency_p,avg_pc,avg_pc_ste
0,covid,0.05,0.2434868514756039,0.0092842651574421,0.091464680186546,0.0032321780894938,0.2461991736946589,0.0088263935843878,0.4782168186423505,0.0176832210271959,47,54,0.3620587350270483,0.8256352698293017,0.0159609462819479,0.0020112899452021,0.7992396478341827,0.011266456656592
1,control,0.05,0.240916439856811,0.0071056646903519,0.1063358735793852,0.0031828739420613,0.2495935270701778,0.0070809742792324,0.5372340425531914,0.017342518220918,47,54,0.3620587350270483,0.8256352698293017,0.0159609462819479,0.0020112899452021,0.7797177414126907,0.0125419673014871
2,covid,0.059,0.2687161629533324,0.0089806993490046,0.1097269271188687,0.0034176296573434,0.2754073613996008,0.0084225938796976,0.5440729483282676,0.0184071611194876,47,63,0.0832405459903468,0.3758701873370554,0.0782897518199594,0.0051928148314675,0.8209199142859906,0.0104895391533647
3,control,0.059,0.2802611187311219,0.0073833215006665,0.1252456766968635,0.003592033226928,0.2936196477360618,0.0073349869228114,0.589458413926499,0.0176956105851074,47,63,0.0832405459903468,0.3758701873370554,0.0782897518199594,0.0051928148314675,0.8047483920346924,0.0116141924272175
4,covid,0.0679,0.2907452776207947,0.0075376306985822,0.1299338725924139,0.003741188920263,0.3004620570113939,0.0074624794726995,0.605369807497467,0.0176827027135277,47,73,0.0817142943822606,0.3996007013139859,0.1192298286794608,0.0042996432470749,0.8371516704794605,0.0093696756413636
5,control,0.0679,0.3009507202219225,0.0074896685265129,0.146498052215835,0.003624411822603,0.3210787974843763,0.0077262177178888,0.6450676982591875,0.0163092445669069,47,73,0.0817142943822606,0.3996007013139859,0.1192298286794608,0.0042996432470749,0.8243090803345171,0.0104626030997636
6,covid,0.0769,0.3016117074123621,0.0080585664295488,0.1526808764941349,0.0038082548634547,0.316100370255708,0.0081520584391926,0.6767983789260386,0.0166671762507145,47,83,0.021313685355129,0.1361495110318576,0.1046286512307025,0.0013701266908368,0.8522691150163627,0.0090512427198488
7,control,0.0769,0.3183113056206401,0.0073118384259488,0.1724654884595453,0.0041608598576063,0.3433728355411118,0.0076433494343136,0.713733075435203,0.0185204299940847,47,83,0.021313685355129,0.1361495110318576,0.1046286512307025,0.0013701266908368,0.8409714008918224,0.0092819931419022
8,covid,0.0859,0.3242738467869065,0.0078538763634693,0.1684756324805427,0.0042940591853435,0.3414374768520211,0.0080774603419483,0.7112462006079026,0.0174480742983582,47,92,0.0928893370056569,0.4921919700222001,0.1129811676425725,0.000320327998455,0.8647473997381965,0.007983504045266
9,control,0.0859,0.3308136431896213,0.008240444252392,0.1913895740931373,0.0042751957109948,0.3602594306230671,0.0085351258128149,0.7485493230174082,0.0181482560836766,47,92,0.0928893370056569,0.4921919700222001,0.1129811676425725,0.000320327998455,0.8547261492648556,0.0085664456472146
10,covid,0.0949,0.3349043180251072,0.008060962282616,0.1891289880453341,0.0043062017226364,0.3542197255474689,0.008248012845872,0.7634245187436678,0.0165119306522704,47,102,0.0249674561344318,0.2248142805110881,0.5271114025899715,0.0003778585158545,0.8760503971956536,0.0076077651631797
11,control,0.0949,0.3488242159196364,0.0089245254331677,0.2094483426228074,0.0041046192718908,0.3813228233834378,0.0091552445007474,0.7794970986460349,0.0157300322548252,47,102,0.0249674561344318,0.2248142805110881,0.5271114025899715,0.0003778585158545,0.8651509935741373,0.0081252772297487
12,covid,0.1038,0.3464713786234716,0.0075904586574892,0.2026100093168159,0.0045868778501068,0.3690020444762426,0.0083458061865471,0.7826747720364742,0.0158673048507412,47,112,0.0085215313026873,0.1272986186779608,0.5583657965493826,0.0010431402153276,0.8856341422058976,0.0068374519860962
13,control,0.1038,0.3651005756478117,0.0084351604680918,0.2232766875863286,0.0041962811152757,0.4023850712281906,0.008712201562463,0.797872340425532,0.0154663303594965,47,112,0.0085215313026873,0.1272986186779608,0.5583657965493826,0.0010431402153276,0.8754176289137617,0.0076627898966265
14,covid,0.1128,0.3550168476917869,0.0080403128079958,0.2147553422207518,0.0047581212547439,0.3811726675279442,0.0086891399154677,0.803951367781155,0.0152739672787115,47,121,0.021313685355129,0.2382913133300015,0.5613268857193813,0.0010755279628966,0.894033624133185,0.0064543692067054
15,control,0.1128,0.3720583174237681,0.0085589713911252,0.2364747040872429,0.0044937735977299,0.4127655253634666,0.0091641028441849,0.8186653771760156,0.014927625712951,47,121,0.021313685355129,0.2382913133300015,0.5613268857193813,0.0010755279628966,0.8839832607059086,0.0071406334578699
16,covid,0.1218,0.3615017244173518,0.0078488638896924,0.2274568999784914,0.0048500223280348,0.3902142297829883,0.0086895143896755,0.8237082066869302,0.0162626719175559,47,131,0.0069383190843877,0.0772713150935027,0.6461006564699955,0.000741764696985,0.9004908257962645,0.005940632489767
17,control,0.1218,0.3833849110552897,0.0078255458060612,0.2496357159221382,0.0044236561087501,0.428004966974973,0.0086261631023153,0.8370406189555125,0.0144250305463119,47,131,0.0069383190843877,0.0772713150935027,0.6461006564699955,0.000741764696985,0.8902081808574022,0.0065945363369419
18,covid,0.1308,0.3717075533395874,0.0074678127631195,0.2389830524066153,0.0050488256028933,0.4023864162888966,0.0086086286844404,0.8414387031408308,0.0160388938168871,47,141,0.0064163675691254,0.0832405459903468,0.6366450842562146,0.0009810552754915,0.9059533461714792,0.0055728288611026
19,control,0.1308,0.3917094976940664,0.0069914127234675,0.2628621410986571,0.0046166870993762,0.4391485144198385,0.007931022694056,0.8549323017408124,0.0138178237347348,47,141,0.0064163675691254,0.0832405459903468,0.6366450842562146,0.0009810552754915,0.8961306006732147,0.0062528849015252
20,covid,0.1397,0.3773557700232178,0.0074806966546405,0.2497535380182252,0.0051215816174609,0.4103989174772987,0.0085008622406101,0.8576494427558258,0.0148816901709896,47,151,0.0041841047368768,0.0651107800856061,0.808246346936244,0.0009513126435267,0.910271261005228,0.0054664815104485
21,control,0.1397,0.3991519402308057,0.0075072418767556,0.2739337836521402,0.0044048916661663,0.4495112248709799,0.0088069484526914,0.8665377176015473,0.0126718963880533,47,151,0.0041841047368768,0.0651107800856061,0.808246346936244,0.0009513126435267,0.9023454190571318,0.0057377788098701
22,covid,0.1487,0.3814877581798762,0.0078138535027853,0.2566259310964843,0.0052316747344822,0.415813126144287,0.0086509903787023,0.8642350557244173,0.0147685542596829,47,160,0.0026806522474995,0.023871908403108,0.8283522843895936,0.000814734113989,0.9164786002036384,0.0052358572892697
23,control,0.1487,0.4044398280295393,0.0075102330756304,0.2820703745903897,0.0043892946149857,0.4561314730148402,0.0088474584938781,0.8733075435203095,0.0119812325544768,47,160,0.0026806522474995,0.023871908403108,0.8283522843895936,0.000814734113989,0.9072914520327384,0.0054438388147904
24,covid,0.1577,0.3854858792895089,0.0075426136644119,0.264847306937353,0.0052373676934948,0.4210207139227545,0.0085500661608914,0.8733535967578522,0.0145055618789206,47,170,0.0017376376933243,0.0153788737233658,0.6707818484297183,0.0002368875086345,0.9198445734539304,0.0050186592201415
25,control,0.1577,0.4116848455737764,0.0077291843897392,0.293120658375702,0.0040915768327752,0.4658056271727206,0.0091350115318278,0.8878143133462284,0.0108421569214638,47,170,0.0017376376933243,0.0153788737233658,0.6707818484297183,0.0002368875086345,0.91086123036666,0.0051834853948493
26,covid,0.1667,0.3905413571761983,0.007357939699311,0.2728669923425602,0.0051420245938186,0.427100044196004,0.0082085106859261,0.8819655521783181,0.0142241875848954,47,180,0.0011431115220751,0.0143154138701061,0.7187018218699257,9.256534276750464e-05,0.9238701293693984,0.0047876126139773
27,control,0.1667,0.4172827790965346,0.007759951297082,0.3032023801775456,0.0040313926793886,0.4728244128519837,0.0094073452978656,0.8989361702127661,0.0095770320697961,47,180,0.0011431115220751,0.0143154138701061,0.7187018218699257,9.256534276750464e-05,0.9151465994845324,0.0048945525772398
28,covid,0.1756,0.3938649104700306,0.0073465659723688,0.2793662360417482,0.0050722760899334,0.4316465856854875,0.0081753836677261,0.889564336372847,0.0135408750946981,47,189,0.0009513126435267,0.0129986203791259,0.5995553335023609,4.300318266129286e-05,0.927860044280696,0.0045459342029466
29,control,0.1756,0.4213616547183361,0.0079110501853557,0.3114100600564225,0.0041439093490008,0.4778567702976804,0.0094849321876132,0.9066731141199228,0.0096763987149763,47,189,0.0009513126435267,0.0129986203791259,0.5995553335023609,4.300318266129286e-05,0.9195964405038652,0.0044461151165087
30,covid,0.1846,0.4008232775949584,0.0073669158541182,0.2866848372434144,0.0050614742111464,0.4380738796616352,0.0082270645891728,0.8976697061803444,0.0132147611745027,47,199,0.0009513126435267,0.0203592860664581,0.6022518360155338,1.0738712129306453e-05,0.9317095206091862,0.0042884454676419
31,control,0.1846,0.4262129128190319,0.0077500291008968,0.3193608080277885,0.0039763313762651,0.4826374560923193,0.0092732414657593,0.9144100580270792,0.0092885788858363,47,199,0.0009513126435267,0.0203592860664581,0.6022518360155338,1.0738712129306453e-05,0.9230160260836496,0.0044523759434779
32,covid,0.1936,0.4060693595132664,0.0073041597611281,0.2937446656744065,0.0048993982549548,0.4436690181246942,0.0082726100129892,0.9072948328267478,0.0125080784529205,47,209,0.000765384859905,0.0173062898753819,0.8042732284417017,9.915094680445068e-06,0.9345485119180428,0.0041247220592609
33,control,0.1936,0.4317291786489999,0.0073234111250097,0.3266137961291166,0.0041476620819971,0.4888837514522877,0.0088778678757426,0.9197292069632496,0.008780654739784,47,209,0.000765384859905,0.0173062898753819,0.8042732284417017,9.915094680445068e-06,0.9261350684895756,0.0041827284590444
34,covid,0.2026,0.4089886963661569,0.0077378780417212,0.3011530463008575,0.0052432382496539,0.4471081111731784,0.0085590434491647,0.9164133738601824,0.0123754802365513,47,218,0.0013701266908368,0.0194423823085281,0.944486895726188,2.3478289773952176e-05,0.9370687851455884,0.0039225622480198
35,control,0.2026,0.4349717788968066,0.0074415972814849,0.3328714851537896,0.0043806981172108,0.4918531884404122,0.0089177829659067,0.9240812379110253,0.0088742687401415,47,218,0.0013701266908368,0.0194423823085281,0.944486895726188,2.3478289773952176e-05,0.9294971117775916,0.0038868531298009
36,covid,0.2115,0.4123972144115925,0.00806662896232,0.3078151432890804,0.0053393032672271,0.4514959279284602,0.0089539584990345,0.9240121580547112,0.0116215389585444,47,228,0.0018974013541886,0.0228183011625407,0.9236342552224062,4.807278191842118e-05,0.93919385425376,0.0037579871148554
37,control,0.2115,0.4377302923264558,0.0073521236412865,0.3399791232097802,0.0045467454290384,0.4956327557875744,0.0088674171459741,0.93036750483559,0.0085513039674962,47,228,0.0018974013541886,0.0228183011625407,0.9236342552224062,4.807278191842118e-05,0.931740541880798,0.0037636393068308
38,covid,0.2205,0.4137401935475681,0.0079527313092156,0.3137248434398226,0.0052709829388642,0.4539276501773702,0.0091221921603209,0.9305977710233028,0.0107477250401878,47,238,0.0009224071236328,0.0115040279540307,0.8682330446552277,4.9885032127480514e-05,0.9421407996727812,0.0034262655482334
39,control,0.2205,0.4421996155875923,0.0074495570340721,0.3454483805466439,0.0045329425553495,0.4990179478410038,0.0088726917987871,0.933752417794971,0.0085745770867404,47,238,0.0009224071236328,0.0115040279540307,0.8682330446552277,4.9885032127480514e-05,0.9347190712584794,0.003592145285791
40,covid,0.2295,0.4166129939229168,0.0078674845461006,0.3194457526941814,0.0054575977325739,0.4580644678420951,0.0089002707736941,0.936676798378926,0.0105896532272633,47,248,0.0023916421823076,0.0255313721186413,0.7325795411334912,8.616402137184342e-05,0.944228890055974,0.0033436816058936
41,control,0.2295,0.4423411473017042,0.0075946051361679,0.3514557392642244,0.0047151110159683,0.499457044597802,0.0087885404081225,0.9376208897485494,0.0085248509576212,47,248,0.0023916421823076,0.0255313721186413,0.7325795411334912,8.616402137184342e-05,0.9368566927014088,0.0034318208925889
42,covid,0.2385,0.4163830480075167,0.0081318135479807,0.3241051398600687,0.0054184714409054,0.4573979631966269,0.0091293093957636,0.941742654508612,0.0101078626034196,47,257,0.0014117785507445,0.0117901270007952,0.6323954433652876,7.734118577590562e-05,0.9465603777672864,0.0030581834872654
43,control,0.2385,0.4463449106434244,0.0080836636530561,0.3560673092979544,0.0046574403055127,0.5023369666402231,0.0091165329530931,0.9405222437137332,0.008222765232403,47,257,0.0014117785507445,0.0117901270007952,0.6323954433652876,7.734118577590562e-05,0.9388147469996074,0.0032873994261025
44,covid,0.2474,0.4196585692756486,0.0085582043992717,0.3294734141568548,0.0051460425566579,0.4602019600616157,0.0094361025900857,0.9508611955420466,0.008120808979755,47,267,0.001498605608442,0.0153788737233658,0.585751926356505,2.8421990787413963e-05,0.9484823977314728,0.0029484244049311
45,control,0.2474,0.4495683542908922,0.0081406182655395,0.3620094880692392,0.0046591437889505,0.5058320431070821,0.0091822677416206,0.9463249516441006,0.0077516976218803,47,267,0.001498605608442,0.0153788737233658,0.585751926356505,2.8421990787413963e-05,0.9412466378682488,0.0030172392314867
46,covid,0.2564,0.4207568060835796,0.0089351139431789,0.3333485864805535,0.0052758486793645,0.4615471232437398,0.009800983801858,0.952887537993921,0.00779996151759,47,277,0.0015438400069042,0.0157485006203887,0.7609900913503291,2.3478289773952176e-05,0.9500956133959324,0.0027875193348237
47,control,0.2564,0.454190297095408,0.0089807289249468,0.3673322383261693,0.0046690430289651,0.5094500536503077,0.0096044899539134,0.9497098646034816,0.0074314352196225,47,277,0.0015438400069042,0.0157485006203887,0.7609900913503291,2.3478289773952176e-05,0.9434542667701842,0.0028367898820956
48,covid,0.2654,0.4199225346329802,0.008949741356892,0.3370573447216288,0.0052946339150981,0.4610898246342501,0.0098374797516893,0.9544072948328268,0.0078992090880763,47,286,0.0011088437209297,0.0078934519009809,0.6332041578158798,3.0664271143965715e-05,0.9513553982686216,0.0027038674440072
49,control,0.2654,0.4559222971262509,0.0089701785010212,0.3708745015395236,0.0047576739031803,0.5108606958153306,0.0094837035658877,0.9506769825918764,0.0073898423770415,47,286,0.0011088437209297,0.0078934519009809,0.6332041578158798,3.0664271143965715e-05,0.9454207459950016,0.0027029596423421
50,covid,0.2744,0.4216521035974691,0.0094400102586214,0.3408632603283662,0.0053112332554597,0.4623684475442561,0.0101919632996961,0.9579533941236068,0.0077983946309696,47,296,0.0023239926279204,0.0146624617339913,0.5616865925061068,1.935988411407392e-05,0.9532343815475744,0.002578033681064
51,control,0.2744,0.4571721922478733,0.0090580811185579,0.3757626349567278,0.0047567784529367,0.5116264215112256,0.0095875461196638,0.9545454545454546,0.0070271257923648,47,296,0.0023239926279204,0.0146624617339913,0.5616865925061068,1.935988411407392e-05,0.9471599468806288,0.002565828037155
52,covid,0.2833,0.4218639209084286,0.009580365820729,0.3446697351268717,0.0054323065588794,0.4619450885755122,0.0102263028702672,0.9614994934143872,0.0075220064209248,47,306,0.0014545950958094,0.0078934519009809,0.5721909772201825,1.593539491644104e-05,0.9545692232144496,0.0024925306654278
53,control,0.2833,0.4581338794318041,0.0090613196345838,0.3810649936453985,0.004955780995343,0.5121891117927176,0.0095531653432951,0.9598646034816248,0.0059308824700816,47,306,0.0014545950958094,0.0078934519009809,0.5721909772201825,1.593539491644104e-05,0.948648508036812,0.0025131230310287
54,covid,0.2923,0.4227107236847327,0.0098165957770803,0.347334392055097,0.0055090757159205,0.4621931438455929,0.0103523220065228,0.9625126646403244,0.0072993879947081,47,315,0.0009810552754915,0.0101639705790094,0.9252251442204062,1.1627412730092337e-05,0.9559513718077932,0.002401709447888
55,control,0.2923,0.4608809751729307,0.0093040775333865,0.3855228256830474,0.005200384648262,0.5143275481746152,0.0098075824986802,0.9637330754352028,0.0056631982426111,47,315,0.0009810552754915,0.0101639705790094,0.9252251442204062,1.1627412730092337e-05,0.9503591498127748,0.0023689300877207
56,covid,0.3013,0.4239254482551604,0.0100530083280007,0.3500160105685951,0.0055922790394999,0.4629192771773364,0.0105195064297614,0.9635258358662616,0.0072456164485649,47,325,0.0010116569784096,0.007307160528885,0.9392866344356172,1.0319058890170834e-05,0.9571837930656628,0.0023682698718431
57,control,0.3013,0.4647369646840811,0.0097879916646086,0.3889002246699884,0.0053198111977305,0.5167771441538882,0.0101001605303699,0.9642166344294002,0.005712251401665,47,325,0.0010116569784096,0.007307160528885,0.9392866344356172,1.0319058890170834e-05,0.9519160573831336,0.0022660548133865
58,covid,0.3103,0.4234328388943998,0.0103259680649936,0.3535100863771975,0.005748112310396,0.4620040672218865,0.0106618086345962,0.9665653495440732,0.0067260704442934,47,335,0.000765384859905,0.0053332654144599,0.8083563503737935,1.6570397955898238e-05,0.9588204220067664,0.0022216554689737
59,control,0.3103,0.4656455227079517,0.0097929783903494,0.3927893537288073,0.0055905287073796,0.5168098318782396,0.0100977261024477,0.9661508704061896,0.0054416258943164,47,335,0.000765384859905,0.0053332654144599,0.8083563503737935,1.6570397955898238e-05,0.9533831998060612,0.0021453396943314
60,covid,0.3192,0.4250296309058315,0.0104341786867612,0.3570196505244938,0.0059725803746639,0.4633553531475539,0.0106557548851101,0.9706180344478218,0.0062846179332981,47,345,0.0006749042959898,0.0059300150141169,0.5064934803090928,2.012415132617318e-05,0.95994695677797,0.0021619422878008
61,control,0.3192,0.4683584048773973,0.0100944219473332,0.3958694204003727,0.0056352978825008,0.5187575964099231,0.0104054519807329,0.9671179883945844,0.005317150383052,47,345,0.0006749042959898,0.0059300150141169,0.5064934803090928,2.012415132617318e-05,0.954813562261446,0.0020549325397919
62,covid,0.3282,0.4240694270005818,0.0105129413449386,0.3602781361933689,0.0060858832172515,0.4618863507242083,0.0107023482053125,0.974164133738602,0.0057105351339905,47,354,0.0003778585158545,0.0037495842902467,0.2791117593688595,4.632306796514038e-05,0.960920339350209,0.0021258944738577
63,control,0.3282,0.4702116512526977,0.0103767150360569,0.3983297953904353,0.005753585946158,0.5200554688431651,0.010637934394982,0.9671179883945844,0.005317150383052,47,354,0.0003778585158545,0.0037495842902467,0.2791117593688595,4.632306796514038e-05,0.9560081350001384,0.0019760481813834
64,covid,0.3372,0.4250763804581596,0.0106467678052625,0.3624137736033669,0.0062022448094795,0.4626407879892496,0.0108646383688485,0.974164133738602,0.0057105351339905,47,364,0.000557661706775,0.0038541888027029,0.4164444426125984,4.300318266129286e-05,0.9617396059969796,0.0020878875109213
65,control,0.3372,0.4709218578613013,0.0104624242260663,0.4019205258064874,0.0060375261908118,0.520029486639767,0.0106404134356913,0.9695357833655708,0.0050899139163484,47,364,0.000557661706775,0.0038541888027029,0.4164444426125984,4.300318266129286e-05,0.9571749924981332,0.0019084478390287
66,covid,0.3462,0.4246908840613595,0.0107008962007953,0.3651280428740988,0.0063177596387655,0.4615206766495711,0.0108617406147599,0.9761904761904762,0.0053228809676178,47,374,0.0004747574488372,0.0042996432470749,0.3737650818162774,3.184749127438693e-05,0.9627541048417724,0.0020405381765507
67,control,0.3462,0.4709503673210075,0.010535463819069,0.405326081638715,0.0060681511060995,0.5191691067041133,0.010750520703964,0.97147001934236,0.0047842136212453,47,374,0.0004747574488372,0.0042996432470749,0.3737650818162774,3.184749127438693e-05,0.9584461021991358,0.0017851134504675
68,covid,0.3551,0.4237369119517552,0.0107105172425777,0.3669125115567298,0.006409370506208,0.4604672861354145,0.0108727403005245,0.9761904761904762,0.0053228809676178,47,383,0.0004306908405392,0.002836820131536,0.3936790860251972,3.184749127438693e-05,0.9636329697282108,0.0019968250902181
69,control,0.3551,0.4727318761965955,0.0107439169187504,0.4078050204449777,0.0061398392520882,0.5204940700485536,0.0110104136229961,0.9724371373307544,0.0045144600221575,47,383,0.0004306908405392,0.002836820131536,0.3936790860251972,3.184749127438693e-05,0.9594636385798216,0.0017008253103361
70,covid,0.3641,0.4238949037813189,0.010795888822771,0.3690109821422963,0.0065490483755317,0.4597322062278553,0.0108307560477219,0.977710233029382,0.0050634432426094,47,393,0.0004034675590427,0.0024610900150971,0.3925772019958119,2.4396420001085724e-05,0.9644721405982416,0.0019582965844418
71,control,0.3641,0.4741368798098158,0.0109503555472884,0.4110005564395459,0.0062928895340937,0.5205458961795467,0.0112343355380078,0.9743713733075436,0.0041921829255448,47,393,0.0004034675590427,0.0024610900150971,0.3925772019958119,2.4396420001085724e-05,0.960563568741928,0.0016369401105581
72,covid,0.3731,0.4235694895517133,0.0110007941522095,0.3709938262201919,0.0066199024031229,0.4586575319012513,0.0109672038515779,0.9792299898682876,0.005090522281265,47,403,0.00035377518373,0.0024610900150971,0.3816469180461406,2.259309813421402e-05,0.9652336565523008,0.0019342775582956
73,control,0.3731,0.474859400061222,0.0110284492844049,0.4140737053967476,0.006390197655338,0.5202160555481528,0.0113020385050214,0.97678916827853,0.0039768534826441,47,403,0.00035377518373,0.0024610900150971,0.3816469180461406,2.259309813421402e-05,0.9615132313719992,0.0015990576583179
74,covid,0.3821,0.4220710491075825,0.0110837734198279,0.3723981247394431,0.0067155553559075,0.4566834666978995,0.0110347131548087,0.9792299898682876,0.005090522281265,47,412,0.0002368875086345,0.0014545950958094,0.4021492973765034,2.4396420001085724e-05,0.9658191368200952,0.0018940521344994
75,control,0.3821,0.4761230691582364,0.0110645667312127,0.4162806575563371,0.0065474896926742,0.5205911124047026,0.0112571838222362,0.9772727272727272,0.0038924382892807,47,412,0.0002368875086345,0.0014545950958094,0.4021492973765034,2.4396420001085724e-05,0.9624422908737216,0.0015457126247245
76,covid,0.391,0.4219287488296911,0.0113797750304324,0.3748058715666283,0.0069244531860258,0.4558111060360274,0.0112308307246363,0.981256332320162,0.0050252874540892,47,422,0.0002621213906837,0.0012902030113823,0.5810129178569994,2.3478289773952176e-05,0.9665024639229988,0.0018649111120732
77,control,0.391,0.4770105081198149,0.0112170904723322,0.4198779440609717,0.0067522118013123,0.5202327414272451,0.0113680184520844,0.9806576402321082,0.0039176147105963,47,422,0.0002621213906837,0.0012902030113823,0.5810129178569994,2.3478289773952176e-05,0.9634183272341672,0.0014916220961679
78,covid,0.4,0.4221520643056356,0.0115876709103535,0.3764445570809021,0.0070956826861684,0.4552025130211033,0.0113759018926608,0.9822695035460992,0.0049591945814212,47,432,0.0003904668957753,0.0012518757095686,0.4704402459907266,2.173972708206736e-05,0.9671857140432544,0.0018454362143709
79,control,0.4,0.4782721463195352,0.0114482390374735,0.4219896137018367,0.0068335268414229,0.5203776967934195,0.0115673235135496,0.9811411992263056,0.0038207837412553,47,432,0.0003904668957753,0.0012518757095686,0.4704402459907266,2.173972708206736e-05,0.9643262388794227,0.001436675149080283
